KT.TXT	Home to Kaynes Technologies Cycle
Test Time, secs Target Speed, mph
0	12.98665
1	13.44233
2	13.898
3	14.35367
4	13.29734
5	12.24101
6	11.18468
7	9.85909
8	8.5335
9	7.2079
10	7.46888
11	7.72986
12	7.99083
13	8.25181
14	8.51278
15	10.87399
16	13.2352
17	15.59641
18	17.30518
19	19.01395
20	19.69746
21	20.38097
22	20.97127
23	21.56157
24	21.31303
25	21.06448
26	20.90913
27	20.75379
28	20.69165
29	20.62952
30	19.97708
31	19.32464
32	17.7505
33	16.17636
34	14.60222
35	12.84685
36	11.09147
37	9.3361
38	7.58073
39	9.10309
40	10.62544
41	12.1478
42	13.67016
43	12.08567
44	10.50117
45	8.91667
46	7.33218
47	8.2487
48	9.16522
49	10.08174
50	10.99827
51	12.09602
52	13.19378
53	14.29153
54	15.30644
55	16.32134
56	17.33625
57	16.38866
58	15.44107
59	14.49348
60	13.54589
61	14.04298
62	14.54008
63	14.14655
64	13.75301
65	13.35948
66	12.44295
67	11.52643
68	10.60991
69	9.69339
70	9.51733
71	9.34128
72	9.16522
73	8.98917
74	8.81311
75	8.63706
76	8.26423
77	7.89141
78	7.51859
79	9.42413
80	11.32966
81	13.2352
82	14.16726
83	15.09932
84	16.03137
85	17.55373
86	19.07609
87	18.36151
88	17.64694
89	15.7414
90	13.83586
91	11.93032
92	11.72838
93	11.52643
94	11.32449
95	11.12254
96	11.10701
97	11.09147
98	11.07594
99	11.0604
100	14.2294
101	17.39839
102	19.72853
103	22.05867
104	23.42569
105	24.7927
106	23.98492
107	23.17714
108	22.95966
109	22.74218
110	22.86645
111	22.99073
112	23.115
113	23.23928
114	22.12081
115	21.00234
116	19.88387
117	18.7654
118	17.64694
119	16.52847
120	17.0877
121	17.64694
122	18.20617
123	18.7654
124	21.12661
125	21.08001
126	21.03341
127	20.98681
128	20.9402
129	22.0742
130	23.20821
131	24.34221
132	25.47621
133	24.23347
134	23.84511
135	23.45676
136	23.0684
137	22.68004
138	22.44703
139	22.21401
140	21.981
141	21.74799
142	21.40623
143	21.06448
144	21.08001
145	21.09555
146	21.11108
147	21.12661
148	18.80683
149	16.48704
150	14.16726
151	13.72194
152	13.27663
153	12.83131
154	12.386
155	11.94068
156	11.49536
157	11.68799
158	11.88061
159	12.07324
160	12.26586
161	12.45849
162	12.65111
